id,question,rewritten_question,context,answer,strategy
1506,Did Roosevelt support racial integration in schools?,In what year did President Franklin D. Roosevelt become the first African-American president?,Theodore Roosevelt at age 11,1903,384d_enhanced_top1
1508,Was Roosevelt's family rich?,What was the name of Roosevelt's family?,"Following the election, he went to London in 1886 and married his childhood sweetheart, Edith Kermit Carow. Thayer, Chapter V, pp. 4, 6.  They honeymooned in Europe, and Roosevelt led a party to the summit of Mont Blanc, a feat which resulted in his induction into the British Royal Society.  Encyclopedia Britannica, 1910 Edition, Topic: Theodore Roosevelt   They had five children: Theodore Jr., Kermit, Ethel Carow, Archibald Bulloch ""Archie"", and Quentin.  Although Roosevelt's father was also named Theodore Roosevelt, he died while the future president was still childless and unmarried, so the future President Roosevelt took the suffix of Sr. and subsequently named his son Theodore Roosevelt, Jr. Because Roosevelt was still alive when his grandson and namesake was born, his grandson was named Theodore Roosevelt III, and the president's son retained the Jr. after his father's death.","They had five children: Theodore Jr., Kermit, Ethel Carow, Archibald Bulloch ""Archie"", and Quentin.",384d_enhanced_top1
1510,Are turtles ectothermic?,Are turtles ectothermic or non-ectothermic?,"Like other reptiles, turtles are ectothermic (or ""cold-blooded"" Reptile blood isn't necessarily cold, as reptiles sun themselves and take other measures to stay warm. ). Like other amniotes (reptiles, dinosaurs, birds, and mammals), they breathe air and don't lay eggs underwater, though many species live in or around water. The largest turtles are aquatic.",ectothermic,384d_enhanced_top1
1512,Does the mother care for the young?,Does the mother care for the young?,"Parental care varies between species, ranging from the simple laying of eggs under a leaf to certain scarab beetles, which construct underground structures complete with a supply of dung to house and feed their young. Other beetles are leaf rollers, biting sections of leaves to cause them to curl inwards, then laying their eggs, thus protected, inside.","varies between species, ranging from the simple laying of eggs under a leaf to certain scarab beetles, which construct underground structures complete with a supply of dung to house and feed their young",384d_enhanced_top1
1514,Are turtles pets?,Is a turtle a pet?,"Turtles, particularly small terrestrial and freshwater turtles, are commonly kept as pets. Among the most popular are Russian Tortoises, Greek spur-thighed tortoises and red-ear sliders (or terrapin). David Alderton (1986). An Interpet Guide to Reptiles & Amphibians, Salamander Books Ltd., London & New York.","Turtles, particularly small terrestrial and freshwater turtles, are commonly kept as pets",384d_enhanced_top1
1516,What shape are the eggs of the larest species of turtle?,What shape are the eggs of the larest species of turtle?,"Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",elongated,384d_enhanced_top1
1518,How often do turtles breed?,How often do turtles breed?,Turtles can take many years to reach breeding age. Often turtles only breed every few years or more.,every few years or more,384d_enhanced_top1
1519,What do all turtles and tortoises breathe?,What do turtles and tortoises breathe?,"Even though many turtles spend large amounts of their lives underwater, all turtles and tortoises breathe air, and must surface at regular intervals to refill their lungs. They can also spend much of their lives on dry land. Aquatic respiration in Australian freshwater turtles is currently being studied. Some species have large cloacal cavities that are lined with many finger-like projections. These projections, called ""papillae"", have a rich blood supply, and serve to increase the surface area of the cloaca. The turtles can take up dissolved oxygen from the water using these papillae, in much the same way that fish use gills to respire.",air,384d_enhanced_top1
1521,How do turtles reproduce?,How do turtles reproduce?,"Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves. When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.,384d_enhanced_top1
1523,What has been discovered about turtles organs?,What has been discovered about turtles' organs?,"* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.",turtles' organs have been discovered,384d_enhanced_top1
1525,What suborder of turtle draws its head into its shell?,What suborder of turtles draws its head into its shell?,"* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.",tetrapods,384d_enhanced_top1
1527,Do sea turtles lay eggs on dry sandy beaches?,Do sea turtles lay eggs on dry sandy beaches?,Sea turtles lay their eggs on dry sandy beaches. Immature sea turtles are not cared for by the adults. Most are endangered largely as a result of beach development and over hunting.,yes,384d_enhanced_top1
1529,Are Pleurodira known as side-necked turtles?,Is Pleurodira a side-necked turtle?,"Turtles are divided into three suborders, one of which, the Paracryptodira, is extinct. The two extant suborders are the Cryptodira and the Pleurodira. The Cryptodira is the larger of the two groups and includes all the marine turtles, the terrestrial tortoises, and many of the freshwater turtles. The Pleurodira are sometimes known as the side-necked turtles, a reference to the way they withdraw their heads into their shells. This smaller group consists primarily of various freshwater turtles.",yes,384d_enhanced_top1
1531,Are turtles a part of the Flying Spaghetti Monster?,Are turtles a part of the Flying Spaghetti Monster?,"*  Turtles of the World: Extensive information on all known turtles, tortoises and terrapins, including key and quiz.",no,384d_enhanced_top1
1532,How many suborders are turtles divided into?,How many suborders are turtles divided into?,"* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.",four,384d_enhanced_top1
1534,Name a turtle popularly kept as a pet.,What is the name of a turtle that is popularly kept as a pet?,"Turtles, particularly small terrestrial and freshwater turtles, are commonly kept as pets. Among the most popular are Russian Tortoises, Greek spur-thighed tortoises and red-ear sliders (or terrapin). David Alderton (1986). An Interpet Guide to Reptiles & Amphibians, Salamander Books Ltd., London & New York.",Russian Tortoises,384d_enhanced_top1
1536,Name four related articles for the article on turtles.,What is the best title for the article on turtles?,"* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.",Encyclopedia of Turtles,384d_enhanced_top1
1538,"If a turtle egg was kept warm, what would likely hatch?","If a turtle egg was kept warm, what would likely hatch?","Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",female,384d_enhanced_top1
1540,What do turles use to breathe in the water?,What do turles use to breathe in the water?,"Even though many turtles spend large amounts of their lives underwater, all turtles and tortoises breathe air, and must surface at regular intervals to refill their lungs. They can also spend much of their lives on dry land. Aquatic respiration in Australian freshwater turtles is currently being studied. Some species have large cloacal cavities that are lined with many finger-like projections. These projections, called ""papillae"", have a rich blood supply, and serve to increase the surface area of the cloaca. The turtles can take up dissolved oxygen from the water using these papillae, in much the same way that fish use gills to respire.",papillae,384d_enhanced_top1
1541,Why are side-necked turtles called side-necked turtles?,Why are side-necked turtles called side-necked turtles?,"Turtles are reptilians of the Order Testudines (all living turtles belong to the crown group Chelonia), most of whose body is shielded by a special bony or cartilaginous shell developed from their ribs. The Order Testudines includes both extant (living) and extinct species, the earliest known turtles being from around 215 million years ago,  /ref> making turtles one of the oldest reptile groups, and a much more ancient group than lizards and snakes.  About 300 species are alive today; some are highly endangered.",shielded by a special bony or cartilaginous shell developed from their ribs,384d_enhanced_top1
1543,Do turtles lay eggs underwater?,Do turtles lay eggs underwater?,"Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",yes,384d_enhanced_top1
1545,Are turtle eggs leathery and soft?,Are turtle eggs leathery or soft?,"Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",soft,384d_enhanced_top1
1547,Are turtles being examined for longevity genes?,Are turtles being studied for longevity genes?,"Researchers have recently discovered a turtleâs organs do not gradually break down or become less efficient over time, unlike most other animals. It was found that the liver, lungs and kidneys of a centenarian turtle are virtually indistinguishable from those of its immature counterpart. This has inspired genetic researchers to begin examining the turtle genome for longevity genes.  All but Ageless, Turtles Face Their Biggest Threat: Humans",yes,384d_enhanced_top1
1549,What suborder of turtles is extinct?,What suborder of turtles is extinct?,"* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.",suborder of turtles,384d_enhanced_top1
1551,What do turtle eggs preared to eat consist mainly of?,What do turtle eggs mainly consist of?,"Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",yolk,384d_enhanced_top1
1552,Where do sea turtles lay their eggs?,Where do sea turtles lay their eggs?,"Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",holes dug into mud or sand,384d_enhanced_top1
1554,What is the smallest suborder of turtles?,What is the smallest suborder of turtles?,"* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.",tetrapods,384d_enhanced_top1
1556,What are turtle eggs covered in when they incubate?,What are turtle eggs covered in when they incubate?,"Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to incubate by themselves.  When the turtles hatch they squirm their way to the surface and make for the water. There are no known species wherein the mother cares for the young.",mud or sand,384d_enhanced_top1
1558,What type of creatures breathe air and don't lay eggs underwater?,What type of creatures breathe air and don't lay eggs underwater?,"They have a very soft underfur which is protected by their outer layer of long guard hair. This traps a layer of air, and keeps them dry and warm under water.",frogs,384d_enhanced_top1
1560,What are deposited in holes dug into mud or sand?,What are deposited in holes dug into mud or sand?,*During the dry season elephants use their tusks to dig into dry river beds to reach underground sources of water. These newly dug water holes may become the only source of water in the area.,water,384d_enhanced_top1
1561,What sort of turtles are ectothermic?,What kind of turtles are ectothermic?,"* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.",ectothermic,384d_enhanced_top1
1563,Are the largest turtles aquatic?,Are the largest turtles aquatic or terrestrial?,"Like other reptiles, turtles are ectothermic (or ""cold-blooded"" Reptile blood isn't necessarily cold, as reptiles sun themselves and take other measures to stay warm. ). Like other amniotes (reptiles, dinosaurs, birds, and mammals), they breathe air and don't lay eggs underwater, though many species live in or around water. The largest turtles are aquatic.",aquatic,384d_enhanced_top1
1564,Is aquatic respiration in Australian freshwater turtles being studied?,Is aquatic respiration in Australian freshwater turtles being studied?,"Even though many turtles spend large amounts of their lives underwater, all turtles and tortoises breathe air, and must surface at regular intervals to refill their lungs. They can also spend much of their lives on dry land. Aquatic respiration in Australian freshwater turtles is currently being studied. Some species have large cloacal cavities that are lined with many finger-like projections. These projections, called ""papillae"", have a rich blood supply, and serve to increase the surface area of the cloaca. The turtles can take up dissolved oxygen from the water using these papillae, in much the same way that fish use gills to respire.",yes,384d_enhanced_top1
1565,"These projections , called papillae , have what?",What type of projections do papillae have ?,"Even though many turtles spend large amounts of their lives underwater, all turtles and tortoises breathe air, and must surface at regular intervals to refill their lungs. They can also spend much of their lives on dry land. Aquatic respiration in Australian freshwater turtles is currently being studied. Some species have large cloacal cavities that are lined with many finger-like projections. These projections, called ""papillae"", have a rich blood supply, and serve to increase the surface area of the cloaca. The turtles can take up dissolved oxygen from the water using these papillae, in much the same way that fish use gills to respire.",finger-like projections,384d_enhanced_top1
1566,The eggs of the largest species are what?,The eggs of the largest species are what?,"* Polyphaga is the largest suborder, containing more than 300,000 described species in more than 170 families, including rove beetles (Staphylinidae), scarab beetles (Scarabaeidae), blister beetles (Meloidae), stag beetles (Lucanidae) and true weevils (Curculionidae). These beetles can be identified by the cervical sclerites (hardened parts of the head used as points of attachment for muscles) absent in the other suborders.","rove beetles (Staphylinidae), scarab beetles (Scarabaeidae), blister beetles (Meloidae), stag beetles (Lucanidae) and true weevils (Curculionidae)",384d_enhanced_top1
1567,Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,Is this the first time that the turtle genome has been analyzed for longevity genes ?,"Researchers have recently discovered a turtleâs organs do not gradually break down or become less efficient over time, unlike most other animals. It was found that the liver, lungs and kidneys of a centenarian turtle are virtually indistinguishable from those of its immature counterpart. This has inspired genetic researchers to begin examining the turtle genome for longevity genes.  All but Ageless, Turtles Face Their Biggest Threat: Humans",no,384d_enhanced_top1
1568,Can turtles take many years to reach breeding age ?,How long does it take for a turtle to reach breeding age ?,Turtles can take many years to reach breeding age. Often turtles only breed every few years or more.,It takes many years for a turtle to reach breeding age.,384d_enhanced_top1
1569,Are Immature sea turtles not cared for by the adults ?,Immature sea turtles are not cared for by the adults .,Sea turtles lay their eggs on dry sandy beaches. Immature sea turtles are not cared for by the adults. Most are endangered largely as a result of beach development and over hunting.,iii.,384d_enhanced_top1
1570,"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",Is the Pleurodira the same as the side-necked turtle ?,"Turtles are divided into three suborders, one of which, the Paracryptodira, is extinct. The two extant suborders are the Cryptodira and the Pleurodira. The Cryptodira is the larger of the two groups and includes all the marine turtles, the terrestrial tortoises, and many of the freshwater turtles. The Pleurodira are sometimes known as the side-necked turtles, a reference to the way they withdraw their heads into their shells. This smaller group consists primarily of various freshwater turtles.",The Pleurodira are sometimes known as the side-necked turtles,384d_enhanced_top1
1571,"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",Is the order Testudines extinct or extinct ?,"Turtles are reptilians of the Order Testudines (all living turtles belong to the crown group Chelonia), most of whose body is shielded by a special bony or cartilaginous shell developed from their ribs. The Order Testudines includes both extant (living) and extinct species, the earliest known turtles being from around 215 million years ago,  /ref> making turtles one of the oldest reptile groups, and a much more ancient group than lizards and snakes.  About 300 species are alive today; some are highly endangered.",extinct,384d_enhanced_top1
1572,Was Ulysses Grant a general in the American Civil War?,Ulysses Grant was a general in the American Civil War.,"Ulysses S. Grant, See military career for a discussion of Grant's middle initial.  born Hiram Ulysses Grant (April 27, 1822   July 23, 1885), was an American general and the eighteenth President of the United States (1869 1877). He achieved international fame as the leading Union general in the American Civil War.",yes,384d_enhanced_top1
1574,Was Grant's father-in-law a Democrat?,Who was Grant's father-in-law?,Grant writing his memoirs.,Grant's father-in-law,384d_enhanced_top1
1576,Did Ulysses win the Battle of Champion Hill?,Is Ulysses the only person to have won the Battle of Champion Hill?,"Knowing that the Confederates could no longer send reinforcements to the Vicksburg garrison, Grant turned west and won the Battle of Champion Hill. The Confederates retreated inside their fortifications at Vicksburg, and Grant promptly surrounded the city. Finding that assaults against the impregnable breastworks were futile, he settled in for a six-week siege. Cut off and with no possibility of relief, Pemberton surrendered to Grant on July 4, 1863. It was a devastating defeat for the Southern cause, effectively splitting the Confederacy in two, and, in conjunction with the Union victory at Gettysburg the previous day, is widely considered the turning point of the war. For this victory, President Lincoln promoted Grant to the rank of major general in the regular army, effective July 4.",no,384d_enhanced_top1
1578,Who was Grant's brother in law?,Who was Grant's brother in law?,Grant writing his memoirs.,Grant's brother-in-law,384d_enhanced_top1
1580,Where was Grant born?,Where was Grant born?,"Ulysses Grant Birthplace, Point Pleasant, Ohio","Point Pleasant, Ohio",384d_enhanced_top1
1582,What was Grant's political affiliation?,What was Grant's political affiliation?,"In 1868, Grant was elected president as a Republican. Grant was the first president to serve for two full terms since Andrew Jackson forty years before. He led Radical Reconstruction and built a powerful patronage-based Republican party in the South, with the adroit use of the army. He took a hard line that reduced violence by groups like the Ku Klux Klan. Although Grant was personally honest, he not only tolerated financial and political corruption among top aides but also protected them once exposed.",Republican,384d_enhanced_top1
1584,"Why did Grant say ""Damn, I had nothing to do with this batte.""?","Why did Grant say ""Damn, I had nothing to do with this batte.""?",Grant writing his memoirs.,Because he was writing his memoirs.,384d_enhanced_top1
1586,Did Horace Greenley lose in the presidential elections of 1872?,Did Horace Greenley win the presidential election of 1872?,"He ran in the election of 1856 as the party's candidate, attempting to win a non-consecutive second term as President (a feat accomplished only once in American politics, by Grover Cleveland).  His running mate was Andrew Jackson Donelson, nephew of former president Andrew Jackson. Fillmore and Donelson finished third, carrying only the state of Maryland and its eight electoral votes; but he won 21.6% of the popular vote, one of the best showings ever by a Presidential third-party candidate.",no,384d_enhanced_top1
1588,Why did Grant think that war was unjust?,Why did Grant think that war was unjust?,Grant writing his memoirs.,He thought that war was unjust.,384d_enhanced_top1
1590,Who achieved international fame as the leading Union general in the American Civil War?,Who was the leading general in the American Civil War?,"Ulysses S. Grant, See military career for a discussion of Grant's middle initial.  born Hiram Ulysses Grant (April 27, 1822   July 23, 1885), was an American general and the eighteenth President of the United States (1869 1877). He achieved international fame as the leading Union general in the American Civil War.",Ulysses S. Grant,384d_enhanced_top1
1591,Grant was elected president as a Republican in what year?,In what year did George W. Bush become president?,"The second president from Ohio, Grant was the 18th President of the United States and served two terms from March 4, 1869, to March 4, 1877. In the 1872 election he won by a landslide against the breakaway Liberal Republican party that nominated Horace Greeley.",unanswerable,384d_enhanced_top1
1592,Who took a hard line that reduced violence by groups like the Ku Klux Klan?,Who took a hard line that reduced violence by groups like the Ku Klux Klan?,"Woodrow Wilson's History of the American People explained the Ku Klux Klan of the late 1860s as the natural outgrowth of Reconstruction, a lawless reaction to a lawless period.  Wilson noted that the Klan âbegan to attempt by intimidation what they were not allowed to attempt by the ballot or by any ordered course of public action.â   Woodrow Wilson, A History of the American People (1931) V:59. .",Woodrow Wilson,384d_enhanced_top1
1593,When did he vote for democrat james buchanan?,When did he vote for democrat james buchanan?,"He became involved in Democratic politics at 19 when he worked for the presidential campaign of James Buchanan. Following Buchanan's single term, the next Democrat elected president would be Cleveland himself, almost thirty years later.  During the American Civil War, Cleveland hired a replacement to avoid Lincoln's draft order of 1863.",19,384d_enhanced_top1
1594,"Who did President Lincoln promote of major general in the regular army, effective July 4?","Who did President Lincoln promote of major general in the regular army, effective July 4?","Grant's willingness to fight and ability to win impressed President Lincoln, who appointed him lieutenant general in the regular army a rank not awarded since George Washington (or Winfield Scott's  brevet appointment), recently re-authorized by the U.S. Congress with Grant in mind on March 2, 1864. On March 12, Grant became general-in-chief of all the armies of the United States.",Grant,384d_enhanced_top1
1595,Was Grant elected president as a Republican?,Who was the first president of the United States to be elected as a Republican?,"In 1868, Grant was elected president as a Republican. Grant was the first president to serve for two full terms since Andrew Jackson forty years before. He led Radical Reconstruction and built a powerful patronage-based Republican party in the South, with the adroit use of the army. He took a hard line that reduced violence by groups like the Ku Klux Klan. Although Grant was personally honest, he not only tolerated financial and political corruption among top aides but also protected them once exposed.",Andrew Jackson,384d_enhanced_top1
1596,What was from Pennsylvania?,What was Pennsylvania's first state?,"* Cleveland, Grover.  about Hawaii.'' (1893).",pennsylvania,384d_enhanced_top1
1597,Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,Is it a two-sentence description of Ulysses S. Grant or a two-sentence description of Ulysses S. Grant ?,Ulysses S. Grant in his postbellum.,two-sentence description of Ulysses S. Grant,384d_enhanced_top1
1598,Was Grant 's favorite brand of bourbon whiskey Old Crow ?,Was Grant 's favorite brand of bourbon whiskey Old Crow ?,* Grant's favorite brand of bourbon whiskey was Old Crow.,yes,384d_enhanced_top1
1599,Had he smoked only sporadically ?,Did he smoke sporadically ?,"An autopsy performed after his death revealed grave problems with his stomach and other organs of his abdomen, along with damage to his brain. Despite the autopsy, the cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. Muir, 103.  The headaches which afflicted Pascal are generally attributed to his brain lesion.","Despite the autopsy, the cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. Muir, 103.",384d_enhanced_top1
1600,"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?","Is Grant & Perkins a company that sells saddles , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?","A civilian at age 32, Grant struggled through seven lean years. From 1854 to 1858 he labored on a family farm near St. Louis, Missouri, using slaves owned by his father-in-law, but it did not prosper. Grant owned one slave (whom he set free in 1859); his wife owned four slaves (two women servants and their two small boys). His wife's slaves were leased in St. Louis in 1860 after Grant gave up farming. The land and cabin where Grant lived is now an animal conservation reserve, Grant's Farm, owned and operated by the Anheuser-Busch Company.  In 1858-59 he was a bill collector in St. Louis. Failing at everything, in humiliation he asked his father for a job, and in 1860 was made an assistant in the leather shop owned by his father and run by his younger brother in Galena, Illinois. Grant & Perkins sold harnesses, saddles, and other leather goods and purchased hides from farmers in the prosperous Galena area. McFeely, ch. 5.",yes,384d_enhanced_top1
1601,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,"*Dupont Street, the main thoroughfare in San Francisco's Chinatown, was renamed Grant Avenue in his honor. The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.",yes,384d_enhanced_top1
1602,What happened in 1865?,What happened in 1865?,"One of the last photographs of Lincoln, likely taken between February and April 1865",the last photographs of Lincoln,384d_enhanced_top1
1603,What happened in recent years?,What happened in the past year?,"The reports shows the indicators are improving as the country is recovering from the last 2002 crisis; in 2004, poverty indicators reached an all time high.   /ref>","The reports shows the indicators are improving as the country is recovering from the last 2002 crisis; in 2004, poverty indicators reached an all time high.",384d_enhanced_top1
1604,Is Uruguay located in the northwesten part of Africa?,Is Uruguay located in the northwestern part of Africa?,Map of Uruguay,no,384d_enhanced_top1
1606,Is Uruguay's capital Montevideo?,Is Montevideo the capital of Uruguay?,"Montevideo, Uruguay's capital.",yes,384d_enhanced_top1
1608,Does Uruguay have cold summers?,Is Uruguay a country with a temperate climate?,The climate in Uruguay is temperate: it has warm summers and cold winters. The predominantly gently undulating landscape is also somewhat vulnerable to rapid changes from weather fronts.,yes,384d_enhanced_top1
1610,Who founded Montevideo?,Who founded Montevideo?,"Montevideo, Uruguay's capital.",Uruguay,384d_enhanced_top1
1612,Where is Uruguay's oldest church?,Where is the oldest church in Uruguay?,"Uruguay's oldest church is in San Carlos, Maldonado.","San Carlos, Maldonado",384d_enhanced_top1
1614,Who heavily influenced the architecture and culture of Montevideo?,Who influenced the architecture and culture of Montevideo?,"Many of the European immigrants arrived in Uruguay in the late 1800s and have heavily influenced the architecture and culture of Montevideo and other major cities. For this reason, Montevideo and life within the city are reminiscent of parts of Europe. For example Barcelona, Thessaloniki or Tel-Aviv are said to be similar to Montevideo in different aspects  /ref>",European immigrants,384d_enhanced_top1
1616,What are poor neighborhoods called informally?,What are poor neighborhoods called informally?,"This first condition makes renting a property especially difficult for the least favoured sectors of the population. According to the INE 23, 3% of the population lives in a place neither owned nor rented. Some of them are proper built houses, but others are precarious constructions built illegally in public or private empty land just outside the cities. Thus, whole new poor neighborhoods have emerged in the last decades. They are called Asentamientos or more colloquially Cantegriles in ironic allusion to the fashionable Neighborhood of Cantegril in Punta del Este. ",Asentamientos or more colloquially Cantegriles,384d_enhanced_top1
1618,Is uruguay's landscape mountainous?,Is uruguay's landscape mountainous?,Map of Uruguay,yes,384d_enhanced_top1
1620,What religion do most Uruguayans profess?,What religion do most Uruguayans practice?,"Although the majority of Uruguayans do not actively practice a religion, they are nominally church members in the Catholic, Protestant and Jewish communities. It is widely considered the most secular nation in Latin America.","Catholic, Protestant and Jewish",384d_enhanced_top1
1622,Is Uruguay located in South America?,Is Uruguay located in South America?,Map of Uruguay,yes,384d_enhanced_top1
1624,Can citizens propose changes to the Constitution?,Can citizens propose changes to the Constitution?,"The Uruguayan constitution allows citizens to challenge laws approved by Parliament by use of a Referendum, or to propose changes to the Constitution by the use of a Plebiscite. During the last 15 years the method has been used several times; to confirm an amnesty to members of the military who violated human rights during the military regime (1973-1985), to stop privatization of public utilities companies (See Economy: Public Sector), to defend pensioners' incomes, and to protect water resources.",yes,384d_enhanced_top1
1626,Did Uruguay host the first ever World Cup?,Did Uruguay host the first ever World Cup?,"The main sport in Uruguay is football. The Uruguay national football team is one of only five nations to win the FIFA World Cup on two or more occasions. In 1930, Uruguay hosted the first ever World Cup and went on to win the competition, defeating Argentina 4-2 in the final. Uruguay won the 1950 FIFA World Cup as well, famously defeating the favored hosts, Brazil, 2-1 in the final. Uruguay is by far the smallest country, population wise, to win a World Cup. Out of the World Cup winners, the nation with the second smallest population is Argentina (winners of the 1978 and 1986 editions) who currently have just over 40,000,000 people according to the latest estimate; the 2002 census has Uruguay's current population slightly under 3,400,000. The Uruguay national team has also won the Copa AmÃ©rica 14 different times, a record it shares with Argentina.",yes,384d_enhanced_top1
1630,How many square kilometres of continental land is Uruguay?,How many square kilometres of continental land is Uruguay?,Map of Uruguay,58.3 million square kilometres,384d_enhanced_top1
1632,How much of the population is of white European descent?,How many percent of the population is of white European descent?,"Approximately 88% of its population are of prevalently white European descent: Spaniards, followed closely by Italians, then French, Germans, Portuguese, British, Swiss, Russians, Poles, Bulgarians, Hungarians, Ukrainians, Lithuanians, Estonians, Latvians, Dutch, Belgians, Croatians, Greeks, Scandinavians, Irish, and Armenians. 0.8% are Mestizo, and",88%,384d_enhanced_top1
1634,Why was the capital of Uruguay founded?,Why was the capital of Uruguay founded?,"Montevideo, Uruguay's capital.",it was the capital of Uruguay,384d_enhanced_top1
